Word,Abbreviation
Abnormal,Abnorm
Abuse,Abuse
Academia,Acad
Academy,Acad
Acoustical,Acoust
Actions,Actions
Acupuncture,Acupunct
Acute,Acute
Addiction,Addict
Addictions,Addict
Additives,Addit
Administration,Adm
Adolescence,Adolescence
Adolescent,Adolesc
Advanced,Adv
Advancement,Adv
Advances,Adv
Adverse,Adverse
Aesthetic,Aesthetic
Affairs,Aff
Affective,Affective
African,Afr
Age,Age
Ageing,Ageing
Agents,Agents
Aging,Aging
Air,Air
Alabama,Ala
Alaska,Alaska
Alcohol,Alcohol
Alcoholism,Alcohol
Allergy,Allergy
Allied,Allied
America,Am
American,Am
Anaesthesia,Anaesth
Anaesthetist,Anaesthetist
Anaesthetists,Anaesth
Analgesia,Analg
Anatomical,Anat
Anatomy,Anat
Andrology,Androl
Anesthesia,Anesth
Anesthesiology,Anesthesiol
Angiology,Angiol
Angle,Angle
Animal,Anim
Ankle,Ankle
Annals,Ann
Annual,Annu
Anthropology,Anthropol
Antibiotics,Antibiot
Anticancer,Anticancer
Antigens,Antigens
Antimicrobial,Antimicrob
Antiviral,Antiviral
Apheresis,Apheresis
Appetite,Appetite
Applied,Appl
Archives,Arch
Argentina,Argent
Arizona,Ariz
Arkansas,Ark
Army,Army
Arteriosclerosis,Arterioscl
Artery,Artery
Arthritis,Arthritis
Artificial,Artif
Asian,Asian
Assessment,Assess
Association,Assoc
Asthma,Asthma
Audiology,Audiol
Audiovisual,Audiov
Auditory,Aud
Australia,Aust
Australian,Aust
Autism,Autism
Autonomic,Auton
Avian,Avian
Aviation,Aviat
Bacteriology,Bacteriol
Bangladesh,Bangladesh
Basic,Basic
Behavior,Behav
Behavioral,Behav
Behaviors,Behav
Biochemical,Biochem
Biochemistry,Biochem
Biocommunications,Biocomm
Biofeedback,Biofeedback
Biological,Biol
Biology,Biol
Biomaterials,Biomater
Biomechanical,Biomech
Biomedical,Biomed
Biometrics,Biometrics
Biophysical,Biophys
Biophysics,Biophys
Bioscience,Biosci
Biosocial,Biosoc
Biosystems,Biosystems
Biotechnological,Biotechnol
Biotechnology,Biotechnol
Birth,Birth
Blood,Blood
Bone,Bone
Brain,Brain
Brazilian,Braz
Breast,Breast
British,Br
Bulletin,Bull
Burns,Burns
Calcified,Calcif
Calcium,Calcium
Canadian,Can
Cancer,Cancer
Carbohydrate,Carbohydr
Carcinogenesis,Carcinog
Carcinogenic,Carcinog
Cardiography,Cardiogr
Cardiology,Cardiol
Cardiovascular,Cardiovasc
Care,Care
Caries,Caries
Catheterization,Cathet
Cell,Cell
Cells,Cells
Cellular,Cell
Central,Cent
Cephalalgia,Cephalalgia
Cerebral,Cereb
Ceylon,Ceylon
Chemical,Chem
Chemicals,Chem
Chemistry,Chem
Chemists,Chem
Chemotherapy,Chemother
Chest,Chest
Child,Child
Childhood,Child
Children,Child
Childs,Childs
Chinese,Chin
Chromatographic,Chromatogr
Chromatography,Chromatogr
Chronic,Chronic
Chronicle,Chron
Circulation,Circ
Circulatory,Circ
Cleft,Cleft
Cleveland,Cleve
Clinic,Clin
Clinical,Clin
Clinics,Clin
Cognition,Cogn
Collagen,Coll
College,Coll
Colon,Colon
Colorado,Colo
Communicable,Commun
Communication,Commun
Communications,Commun
Community,Community
Comparative,Comp
Complement,Complement
Comprehensive,Compr
Computerized,Comput
Computers,Comput
Connecticut,Conn
Connective,Connect
Consulting,Consult
Contact,Contact
Contaminants,Contam
Contamination,Contam
